term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df
shaft,31,4.433987,16238,6.977858,30.939732,true,false
minor,321,6.771441,181256,4.565358,30.914051,true,false
sheeth,3,2.098612,6,14.727119,30.906512,true,false
etop,3,2.098612,6,14.727119,30.906512,true,false
drive,183,6.209486,120356,4.974811,30.891022,true,false
tail,65,5.174387,44725,5.964719,30.863764,true,false
lever,20,3.995732,7781,7.71346,30.820922,true,false
contamination,22,4.091042,9433,7.520953,30.76854,true,false
sign,164,6.099866,112634,5.041121,30.750165,true,false
kit,41,4.713572,25631,6.521432,30.73924,true,false
retainer,11,3.397895,2112,9.017165,30.639382,true,false
conector,3,2.098612,7,14.593587,30.626282,true,false
worn,46,4.828641,30834,6.336623,30.597281,true,false
tank,71,5.26268,52280,5.808641,30.569016,true,false
dilution,10,3.302585,1702,9.232882,30.492379,true,false
spot,127,5.844187,94525,5.216399,30.48561,true,false
cooking,36,4.583519,23921,6.590475,30.207567,true,false
boltholes,3,2.098612,9,14.370444,30.15799,true,false
excessive,37,4.610918,25285,6.535023,30.132453,true,false
isolator,5,2.609438,169,11.53723,30.105687,true,false
oxidation,17,3.833213,6857,7.839858,30.051847,true,false
bow,41,4.713572,29771,6.371705,30.033492,true,false
foto,8,3.079442,1044,9.721257,29.936042,true,false
segment,57,5.043051,46626,5.923094,29.870466,true,false
quick,58,5.060443,47795,5.898332,29.848171,true,false
curl,11,3.397895,2668,8.78357,29.84565,true,false
forward,208,6.337538,159234,4.694893,29.75406,true,false
fluorescent,13,3.564949,4171,8.336878,29.720548,true,false
bare,28,4.332205,18266,6.860177,29.719692,true,false
housing,153,6.030438,128172,4.911893,29.620864,true,false
insulator,8,3.079442,1170,9.607416,29.585475,true,false
flaking,6,2.791759,447,10.568236,29.503972,true,false
measurement,30,4.401197,21812,6.682767,29.412179,true,false
shutoff,5,2.609438,221,11.270352,29.409283,true,false
skin,58,5.060443,52301,5.808239,29.392262,true,false
removal,53,4.970292,47118,5.912597,29.387335,true,false
testing,67,5.204693,61987,5.638333,29.345789,true,false
cradle,16,3.772589,7361,7.768942,29.309023,true,false
electronic,98,5.584967,92983,5.232846,29.225276,true,false
unj,3,2.098612,15,13.90044,29.171635,true,false
servicable,3,2.098612,15,13.90044,29.171635,true,false
acoustical,8,3.079442,1418,9.415321,28.993931,true,false
cooler,17,3.833213,9043,7.563172,28.991252,true,false
width,43,4.7612,39682,6.084351,28.968811,true,false
glass,82,5.406719,82778,5.349099,28.921078,true,false
standard,242,6.488938,209320,4.421405,28.690219,true,false
chord,18,3.890372,10934,7.373305,28.684897,true,false
ice,129,5.859812,132863,4.875948,28.572138,true,false
unit,189,6.241747,179248,4.576498,28.565341,true,false
cap,42,4.73767,42687,6.011356,28.479818,true,false
isolation,26,4.258097,22029,6.672868,28.413718,true,false
differential,22,4.091042,16916,6.936955,28.379376,true,false
debris,22,4.091042,16927,6.936305,28.376716,true,false
procedure,38,4.637586,38364,6.118128,28.373346,true,false
receptacle,7,2.94591,1175,9.603155,28.290031,true,false
right,605,7.405228,381956,3.819966,28.287718,true,false
identification,39,4.663562,40581,6.061949,28.270273,true,false
bypass,22,4.091042,17434,6.906794,28.255987,true,false
clockposition,2,1.693147,0,16.673029,28.229892,false,false
anodisation,2,1.693147,0,16.673029,28.229892,false,false
